stem	transcription	svm_weight_01	svm_weight_1	knn_2_weight	yi_la_weight	x_phon	y_phon	ends_labial_stop	ends_sibilant	ends_coronal_sonorant	ends_two_consonants	language	year	back	front	log_odds_back	stem_freq	stem_varies	sd_back
dózer	dózer	-3.5557706297134057	-3.5564250917412568	-1.2671735326218472	0.5956463299590189	1.0172501026206542	1.099922519241508	FALSE	FALSE	TRUE	FALSE	en	NA	130	788	-1.8019636394022969	918	TRUE	10.563636397725697
dzsóker	džóker	-1.895531367543188	-2.543965122560519	-4.455853482659823	0.5333669382081533	1.5056022393752762	0.579622509432532	FALSE	FALSE	TRUE	FALSE	NA	NA	0	124	-Inf	124	FALSE	0
facet	facet	-3.835417542996819	-1.943738464055883	3.3288680844666585	0.6603641635573955	-0.2833428035883395	1.0636332429254636	FALSE	FALSE	FALSE	FALSE	NA	NA	0	52	-Inf	52	FALSE	0
faglett	faglett	-1.8354175429968196	-2.1567048562459217	-4.438862575890202	0.6503915276610148	-2.5511028442584074	-0.7641838602405495	FALSE	FALSE	FALSE	TRUE	NA	NA	0	21	-Inf	21	FALSE	0
falzett	falzett	-2.9913112902717627	-2.990846192013109	-3.268628607433801	0.6386523303444319	-2.3973178823583177	-1.3988738212714915	FALSE	FALSE	FALSE	TRUE	it	NA	31	212	-1.9225990701868665	243	TRUE	5.20050646473129
facser	fačer	-1.8354159924954632	-0.8856853772256446	-0.40127569351341374	0.6582593463440976	1.1323199492567635	0.8450671664444549	FALSE	FALSE	TRUE	FALSE	NA	NA	0	2	-Inf	2	FALSE	0
flóbert	flóbert	-2.23954790640911	-2.2395997821892384	-2.7334557245376327	0.42826697406286246	-0.5143427446980934	0.5399099468714902	FALSE	FALSE	FALSE	TRUE	fr	NA	5	50	-2.3025850929940455	55	TRUE	2.1320071635561044
gatyesz	gaṯes	-1.8354175429968191	-0.4525647935660624	-2.2808062377177367	0.6192068330873438	0.32663969021893896	1.058260369402662	FALSE	TRUE	FALSE	FALSE	hu	NA	22	9	0.8938178760220965	31	TRUE	2.527270617522696
gukker	gukker	-1.8354168771606727	-1.4623972600751096	-1.9354021714568983	0.5580487734412194	1.0873304023885326	-0.3767269549691772	FALSE	FALSE	TRUE	FALSE	de	NA	18	52	-1.0608719606852628	70	TRUE	3.656696401320264
gólem	gólem	-3.835417542996819	-4.168912206913976	0.6303144699918144	0.6021332329246454	-0.1742766588783383	0.8821171186533252	TRUE	FALSE	FALSE	FALSE	yi	NA	1	1736	-7.459338895220296	1737	TRUE	0.999712105939046
halef	halef	-1.8354175429968196	-1.154662018313266	4.495459135189906	0.7348580154777847	-0.05749277967874928	0.4221358372800811	FALSE	FALSE	FALSE	FALSE	ar	NA	21	29	-0.322773392263051	50	TRUE	3.4899856733230297
hardver	hardver	-3.835417542996819	-3.8534305964835616	-2.2048069920574354	0.6403662887380875	1.469255594696122	-1.5431031738900514	FALSE	FALSE	TRUE	FALSE	en	NA	116	33523	-5.6663968582915585	33639	TRUE	10.751743491594286
hosztesz	hostes	-3.835417542996819	-4.2168570630570414	-3.00622023396492	0.5282014703685838	0.4087237625563625	-0.5072248605134343	FALSE	TRUE	FALSE	FALSE	NA	NA	0	898	-Inf	898	FALSE	0
jampec	jampec	-1.8354175429968196	-1.4678888836345498	-2.3368741664726778	0.7696258124978143	-0.3629372192438418	-0.2889679738115108	FALSE	FALSE	FALSE	FALSE	de	NA	183	281	-0.4288685164923248	464	TRUE	10.527365816503329
junker	junker	-2.230937561693484	-2.2309856158396073	-2.492802226790781	0.5417113664854977	1.0656675211691953	-0.4643436194956864	FALSE	FALSE	TRUE	FALSE	de	NA	25	218	-2.1656192379208883	243	TRUE	4.7358192046460825
kadet	kadet	-1.8354175429968196	-1.7805076214131128	-4.307882377391616	0.6381155187857739	-0.5491381195927182	0.9307912298927392	FALSE	FALSE	FALSE	FALSE	fr	NA	158	416	-0.9680902272342964	574	TRUE	10.700874300794013
karcer	karcer	-1.5860653342195232	-2.3962412461270217	-1.6119504765699837	0.6196135852933127	0.9584746932236238	-1.280908992860046	FALSE	FALSE	TRUE	FALSE	la	NA	36	93	-0.949080554697146	129	TRUE	5.094456631682423
karter	karter	-1.5860653342194986	-2.7009200759323706	-2.082485684061064	0.4003669113680909	0.9854433593740825	-1.253258619754304	FALSE	FALSE	TRUE	FALSE	en	NA	113	232	-0.7193495529539694	345	TRUE	8.717132888576463
klapec	klapec	-1.835417542996819	-0.8342737222130636	1.2992829841302609	0.5827498817522915	-0.25595959537548785	0.5648735596342734	FALSE	FALSE	FALSE	FALSE	de	NA	18	9	0.6931471805599453	27	TRUE	2.4494897427831783
klaszter	klaster	-3.835417542996814	-3.4317308642127857	-2.1856797712076768	0.3661542107230255	1.7378243457588507	-1.1255113464174982	FALSE	FALSE	TRUE	FALSE	en	NA	77	20087	-5.564022696780865	20164	TRUE	8.758193941608374
klozet	klozet	-1.8354175429968196	-1.7811335762421754	-3.184347117323735	0.5164086298903638	-0.49739227403242914	0.4128809389162855	FALSE	FALSE	FALSE	FALSE	fr	NA	388	185	0.7406495145449485	573	TRUE	11.192430750654768
kolesz	koles	-1.8354175429968196	-1.7852478761864372	-0.5405271913729001	0.609728308270303	-0.564643192276082	0.28509512069653276	FALSE	TRUE	FALSE	FALSE	hu	NA	2920	320	2.211017899468555	3240	TRUE	16.982198377371375
komplex	kompleks	-1.8354175429968196	-1.5602889874764454	1.3862943611198906	0.5608381795161422	-2.0148639972210245	-1.305603282078585	FALSE	TRUE	FALSE	TRUE	NA	NA	15	0	Inf	15	FALSE	0
konfekt	konfekt	-2.739003344586411	-2.738761979325357	-8.786509565233647	0.4927482007012174	-2.481866815338939	-0.948346398418652	FALSE	FALSE	FALSE	TRUE	NA	NA	0	13	-Inf	13	FALSE	0
konszern	konsern	-3.835417542996819	-4.736485230214594	-8.233653005687348	0.42359860487429934	-0.4501033614633276	-1.3872255023192888	FALSE	FALSE	TRUE	TRUE	de	NA	3	6888	-7.738923757439457	6891	TRUE	1.7316737419700765
korner	korner	-2.639473153721317	-2.6396372544278517	-0.9534302788236118	0.438891344675785	0.6447756583833532	-1.3681797936609537	FALSE	FALSE	TRUE	FALSE	de	NA	48	620	-2.5585184671312464	668	TRUE	6.674645923462369
kornett	kornett	-2.1796635914099065	-2.8081974880003324	-4.6759392568762985	0.4696511567446861	-2.694389440827871	-1.419146517934539	FALSE	FALSE	FALSE	TRUE	en	NA	8	71	-2.1832383353614793	79	TRUE	2.681393931842451
kotlett	kotlett	-3.835417542996819	-3.7293584967848346	-3.977522603045268	0.4840296665764066	-2.796302221712448	-0.7625046305094177	FALSE	FALSE	FALSE	TRUE	NA	NA	0	52	-Inf	52	FALSE	0
krokett	krokett	-3.397097736732926	-3.3970689532050113	-4.384494517177783	0.4123307460697518	-2.260022746201517	0.5337468806441172	FALSE	FALSE	FALSE	TRUE	fr	NA	47	1584	-3.5175609706643125	1631	TRUE	6.756153949281257
kukker	kukker	-1.8354168771606727	-1.5795112167738203	-2.1061646118205894	0.5006960036136218	0.9894742485729978	-0.5536432758024871	FALSE	FALSE	TRUE	FALSE	de	NA	53	236	-1.493539891473488	289	TRUE	6.578774720007442
káder	káder	-3.835417542996819	-3.808079247236381	-4.922986955968671	0.4602117645872445	1.0841274011951971	1.1134725139098056	FALSE	FALSE	TRUE	FALSE	de	NA	52	3884	-4.313377110829788	3936	TRUE	7.163309858583621
kóter	kóter	-1.8354175429968196	-3.341891936055092	-4.035385219724727	0.46097996756301834	1.093859838668007	1.010281505310089	FALSE	FALSE	TRUE	FALSE	de	NA	222	254	-0.13465688514625712	476	TRUE	10.884033483683776
lasztex	lasteks	-2.4028539299074927	-2.727603859572834	-3.107718191526049	0.3792548783837748	-0.7251048923838888	-0.622756706125977	FALSE	TRUE	FALSE	TRUE	en	NA	1	19	-2.9444389791664407	20	TRUE	0.9746794344808964
latex	lateks	-3.835417542996819	-2.380190178488055	-4.882801922586371	0.5592398265886043	-0.7907137718694404	1.339496594547106	FALSE	TRUE	FALSE	TRUE	la	NA	125	2639	-3.049841599201023	2764	TRUE	10.924603467686776
latens	latenš	-2.942360470114348	-3.142336214738574	-3.236224463202814	0.3158223540945536	-0.6535297966774163	1.415586620321838	FALSE	TRUE	FALSE	TRUE	NA	NA	0	244	-Inf	244	FALSE	0
lornyett	lorṉett	-2.4978576426968355	-2.498168662247422	-2.5649493574615367	0.4908572617011824	-2.667353442813699	-1.1110481276653947	FALSE	FALSE	FALSE	TRUE	fr	NA	1	21	-3.044522437723423	22	TRUE	0.9770084209183943
luesz	lues	-2.5422930503403567	-2.5424217578146395	-3.84033329229966	0.5501503607624444	0.11358065031698444	1.5531519197804118	FALSE	TRUE	FALSE	FALSE	la	NA	1	22	-3.0910424533583156	23	TRUE	0.9780192938436516
lumen	lumen	-3.835417542996819	-4.555731460450536	-3.57799406252414	0.5041037922273346	0.12080731575078672	1.5901678132422898	FALSE	FALSE	TRUE	FALSE	la	NA	2	1760	-6.779921907472252	1762	TRUE	1.4134107161191358
lumpen	lumpen	-3.835417542996819	-4.434626161787067	-2.3959383250114095	0.359853842768825	0.1857665852711492	0.01320437709327902	FALSE	FALSE	TRUE	FALSE	de	NA	1	414	-6.025865973825314	415	TRUE	0.9987944540523755
macher	macher	-1.8354175429968196	-1.3635185035458492	-2.7254241690382632	0.6059736669129606	1.23805255237139	-0.45181864576545344	FALSE	FALSE	TRUE	FALSE	yi	NA	14	40	-1.0498221244986778	54	TRUE	3.220305943597653
maglen	maglen	-1.8354175429968196	-1.9766347693093187	-4.634728988229636	0.63841121515882	0.02069094795866736	-0.3166010341185297	FALSE	FALSE	TRUE	FALSE	NA	NA	0	2	-Inf	2	FALSE	0
majszter	majster	-2.092389069434043	-2.0925057220884433	-0.7091031208762753	0.5778411273507515	1.4688359832086375	-1.1306850637986623	FALSE	FALSE	TRUE	FALSE	de	NA	2	21	-2.3513752571634776	23	TRUE	1.3513278493843526
marlen	marlen	-2.179507033895063	-2.1796717851474057	-3.332204510175204	0.5611180966281932	-0.06076284165935471	-1.1791630726702729	FALSE	FALSE	TRUE	FALSE	NA	NA	0	7	-Inf	7	FALSE	0
matek	matek	-1.8354175427734565	-0.11995365460771756	-0.2869135594864712	0.6709171535465835	0.14118768034118426	1.2022598758929874	FALSE	FALSE	FALSE	FALSE	en	NA	18299	276	4.194200826810537	18575	TRUE	16.489360328335525
mater	mater	-2.823354675520707	0.11993318433863688	-0.9338899062039	0.7227817066064943	1.1886298596239564	0.8530992774643084	FALSE	FALSE	TRUE	FALSE	la	NA	193	2954	-2.7282252741864395	3147	TRUE	13.459704599977396
modem	modem	-3.835417542996819	-4.398015151066737	-2.1620244446413963	0.6143345336188136	0.1167932385396054	1.4287715896719817	TRUE	FALSE	FALSE	FALSE	en	NA	89	21524	-5.4882875008771705	21613	TRUE	9.414537036475023
moped	moped	-3.835417542996819	-3.7400936330827905	-1.701903140106194	0.612864003747805	-0.3787894875696553	1.3386296745651098	FALSE	FALSE	FALSE	FALSE	en	NA	18	3353	-5.227238988570064	3371	TRUE	4.231298392599425
mutex	muteks	-1.8354175429968196	-2.0772413083641004	-1.146800883269757	0.4863805512937185	-1.121527366408316	1.5370335177198196	FALSE	TRUE	FALSE	TRUE	NA	NA	0	65	-Inf	65	FALSE	0
mutter	mutter	-1.8354175429968196	-1.7201094694337773	-0.9338899062039	0.5953764209888113	1.351324238862082	-0.363861366804831	FALSE	FALSE	TRUE	FALSE	de	NA	222	107	0.7298485474103733	329	TRUE	8.497094085788126
nonszensz	nonsens	-3.835417542996819	-4.104575558549827	-2.827800358370859	0.37764414920074785	-1.4450217886175878	-0.6322636532404518	FALSE	TRUE	FALSE	TRUE	en	NA	2	1980	-6.897704943128636	1982	TRUE	1.413499853742037
ofszet	ofset	-3.835417542996819	-3.931320332553709	-8.172352705124508	0.6269692142589608	-0.7882828692299373	0.4182520277309777	FALSE	FALSE	FALSE	FALSE	NA	NA	0	232	-Inf	232	FALSE	0
oklen	oklen	-1.892080927651098	-2.399184208245819	-2.5464645427874335	0.510178121630873	-0.2197838993031885	0.21552979113528975	FALSE	FALSE	TRUE	FALSE	NA	NA	0	5	-Inf	5	FALSE	0
paccer	paccer	-2.0458690537991497	-2.0457993092446296	0.107292350120912	0.5383655278502961	1.295132181887115	-0.7861082027898465	FALSE	FALSE	TRUE	FALSE	NA	NA	0	6	-Inf	6	FALSE	0
pajesz	pajes	-1.8354175429968196	-0.4790656635092176	-1.5727802565289	0.640587218108784	-0.03616997165510568	0.582540846136752	FALSE	TRUE	FALSE	FALSE	yi	NA	271	14	2.963061491264442	285	TRUE	3.648599827571448
pakett	pakett	-2.7640330926522463	-2.888005652555545	-3.783859401101126	0.5737684672354808	-2.1260246733191006	0.8890244209634972	FALSE	FALSE	FALSE	TRUE	fr	NA	61	889	-2.6792233713405933	950	TRUE	7.555339694198854
parszek	parsek	-2.8354175429968196	-2.7793003307444035	3.1720445251841016	0.6757437711708467	-0.212162896936844	-1.2880531772432653	FALSE	FALSE	FALSE	FALSE	ru	NA	9	177	-2.9789251552376097	186	TRUE	2.9265194564588595
pollen	pollen	-3.8354175429966104	-3.367190511149737	-2.70805020110221	0.5765445085885289	-0.3299898424385413	-1.3301360846207744	FALSE	FALSE	TRUE	FALSE	la	NA	7	10478	-7.311122950912852	10485	TRUE	2.6448679848206482
poszter	poster	-3.835417542996819	-3.1256223519761233	-1.473189343998931	0.4458653626675797	1.1311623469767729	-0.9460193903832872	FALSE	FALSE	TRUE	FALSE	de	NA	40	15402	-5.953373195985259	15442	TRUE	6.316358640738779
prakker	prakker	-1.8354175429968196	-2.292426269115632	-3.8639305673344015	0.5031917546071161	1.7484871025743374	-0.7845341040746672	FALSE	FALSE	TRUE	FALSE	de	NA	32	40	-0.2231435513142097	72	TRUE	4.216370213557839
projekt	projekt	-3.835417542996819	-4.056904879301557	-4.167434204348922	0.5078862986023693	-2.1187831206328145	0.28049536134487113	FALSE	FALSE	FALSE	TRUE	en	NA	193	704053	-8.201918727492497	704246	TRUE	13.890540233223266
puffer	puffer	-2.8354175429968196	-2.660189096536217	-3.210547872592463	0.5409873229631565	1.0430620214817263	-0.7629916618780545	FALSE	FALSE	TRUE	FALSE	de	NA	272	4314	-2.763818760653104	4586	TRUE	15.995856419413522
pátens	pátenš	-3.835417542996819	-3.7291076235065375	-3.5665406019216923	0.3251233562131637	-0.7397798321032695	1.623133259472823	FALSE	TRUE	FALSE	TRUE	la	NA	2	616	-5.730099782973574	618	TRUE	1.4119233364778043
rakett	rakett	-2.2594476567097086	-2.2596459636065855	-3.783859401101126	0.5203224399722509	-1.9802617237334537	1.2314811176866944	FALSE	FALSE	FALSE	TRUE	de	NA	2	25	-2.5257286443082556	27	TRUE	1.3608276348795434
ranett	ranett	-1.8354175429968196	-2.3138538970916533	-5.2818786402048765	0.5315060218678146	-2.09728493379392	0.913516280602595	FALSE	FALSE	FALSE	TRUE	NA	NA	0	4	-Inf	4	FALSE	0
raszter	raster	-3.1446499521900098	-2.7851535473659768	-1.5897583544876546	0.5262309692427533	1.4665278356403757	-0.6599600027875041	FALSE	FALSE	TRUE	FALSE	de	NA	47	1230	-3.2646218466564045	1277	TRUE	6.72831066820824
rocker	rocker	-3.835417542996819	-3.5204757300784766	-2.286030915111541	0.5265195525703794	1.0495721799983808	-0.2529426800167597	FALSE	FALSE	TRUE	FALSE	en	NA	12	6309	-6.264825814582809	6321	TRUE	3.4608118692720846
szkander	skander	-1.8354175429968196	-1.7104298839326892	-2.3361613885276498	0.5332379684141133	1.639457644990538	-1.2288527882268354	FALSE	FALSE	TRUE	FALSE	ar	NA	139	375	-0.9924520928397192	514	TRUE	10.0702783395781
szlogen	slogen	-3.612536096391751	-3.6124435191017135	-6.148018352153025	0.413157814651207	0.6546794611741797	1.021062033943784	FALSE	FALSE	TRUE	FALSE	en	NA	25	31893	-7.151266004088514	31918	TRUE	4.9980414736766905
szoftver	softver	-1.8354175429968196	-2.0542696982978472	-3.210547872592463	0.5499433939466454	1.5983353456484632	-1.1429381010641997	FALSE	FALSE	TRUE	FALSE	en	NA	61	191360	-8.051037885571093	191421	TRUE	7.809005133270775
szolvens	solvenš	-2.539156788164588	-2.5394228661924116	-6.556778356158042	0.37278402026187224	-1.4806346237782722	-1.0030771888717862	FALSE	TRUE	FALSE	TRUE	NA	NA	0	8	-Inf	8	FALSE	0
szubrett	subrett	-3.273509257687982	-3.473234646806125	-4.340632830360099	0.5871493111728596	-2.779746288841642	-0.4188618865336659	FALSE	FALSE	FALSE	TRUE	fr	NA	1	425	-6.052089168924417	426	TRUE	0.9988256014738632
tandem	tandem	-1.8354175429968196	-1.9703077130035285	-6.529418838262226	0.6295084538489492	0.5364871063415866	-0.5557358440070757	TRUE	FALSE	FALSE	FALSE	en	NA	20	2024	-4.617098756853365	2044	TRUE	4.450202836248853
tangens	tangenš	-1.876450901841103	-2.006917380937188	-4.732851164934439	0.40004746957280823	-0.9960314325627534	-0.5475704655339164	FALSE	TRUE	FALSE	TRUE	NA	NA	0	225	-Inf	225	FALSE	0
taszter	taster	-1.8354175429968196	-2.2430643858418167	-2.2068400360356613	0.5283233643617777	1.4638683907149308	-0.8373852573045283	FALSE	FALSE	TRUE	FALSE	NA	NA	0	33	-Inf	33	FALSE	0
tatjen	tatjen	-1.8354175429968196	-1.728963039985393	-5.836433850549931	0.5853435157976216	0.3066012432433274	-0.28560118633702397	FALSE	FALSE	TRUE	FALSE	NA	NA	0	3	-Inf	3	FALSE	0
token	token	-1.8354175429968196	-3.0373822561466306	-6.138512137541671	0.4732913914205525	0.02190332664072617	1.2296966742941675	FALSE	FALSE	TRUE	FALSE	en	NA	6	3934	-6.48565252972095	3940	TRUE	2.4476239384681704
tormeny	tormeṉ	-3.835417542996819	-4.220972376694826	-5.846438775057725	0.4831948468645163	0.06657533606768269	-0.9053047665097358	FALSE	FALSE	TRUE	FALSE	NA	NA	0	2	-Inf	2	FALSE	0
tornesz	tornes	-3.835417542996819	-3.784846239127836	-2.542726220676826	0.544938341469139	-0.04138544128644236	-0.9409573673517264	FALSE	TRUE	FALSE	FALSE	NA	NA	0	2	-Inf	2	FALSE	0
torpej	torpej	-2.2971879846925565	-2.62131431352134	-2.0794415416798357	0.5445460630419533	0.44520988713197907	-1.1288043522216082	FALSE	FALSE	FALSE	FALSE	NA	NA	0	3	-Inf	3	FALSE	0
transzfer	transfer	-3.835417542996819	-4.039637773798827	-4.346951727543049	0.5630301797001854	2.121421029663846	-1.78175651809282	FALSE	FALSE	TRUE	FALSE	en	NA	36	13467	-5.9244785889939315	13503	TRUE	5.991996439300815
traverz	traverz	-3.835417542996819	-3.9854557137371343	3.945642705741166	0.5119882331170612	0.20810844682457488	0.12680363937532185	FALSE	TRUE	FALSE	TRUE	fr	NA	16	427	-3.284195290988843	443	TRUE	3.9271009531412
tábesz	tábes	-1.8354175429968524	-2.832685698156274	-4.946658647962259	0.6238399491759619	0.2689466883616747	1.794608894051433	FALSE	TRUE	FALSE	FALSE	NA	NA	0	5	-Inf	5	FALSE	0
tájpej	tájpej	-2.789809641665193	-2.58950178560823	-2.1972245773362196	0.6069110994077754	0.9310343029628751	-0.3888626457467154	FALSE	FALSE	FALSE	FALSE	NA	NA	0	5	-Inf	5	FALSE	0
valcer	valcer	-3.835417542996819	-2.767405931499344	0.8010361425711302	0.5453324903130673	1.1748987168091711	-1.0361734847929394	FALSE	FALSE	TRUE	FALSE	de	NA	16	225	-2.643511679964639	241	TRUE	3.864939758404985
valdens	valdenš	-3.835417542996819	-3.967837741917352	-3.278253995446462	0.45793272924103823	-1.0028328622596163	-0.8216644213397067	FALSE	TRUE	FALSE	TRUE	NA	NA	0	361	-Inf	361	FALSE	0
vamzer	vamzer	-3.4263228945146267	-3.426332479221215	-2.47397757925581	0.6261744658080021	1.0323717845165905	-0.6623828339653908	FALSE	FALSE	TRUE	FALSE	yi	NA	9	107	-2.4756042571256867	116	TRUE	2.8812712711459563
varsekk	varšekk	-1.8354175429968196	-2.0899702314046023	-3.9871304779149512	0.6544208193497152	-1.6156974060817844	-1.4230620532670664	FALSE	FALSE	FALSE	TRUE	NA	NA	0	3	-Inf	3	FALSE	0
vátesz	vátes	-3.835417542996819	-3.0787533122812794	-1.9090485557511552	0.5721710520514379	0.5630575956738719	1.7299683039920857	FALSE	TRUE	FALSE	FALSE	la	NA	1	737	-6.602587892189336	738	TRUE	0.9993222635615924
zacsek	začek	-1.8354175429968196	-1.1982705798844684	4.044769776592251	0.6461343901306403	0.02153173890694356	1.3249586703372065	FALSE	FALSE	FALSE	FALSE	yi	NA	59	12	1.5926307941177191	71	TRUE	3.157820606987593
ágens	ágenš	-1.8354175429968196	-2.4426474809609324	-5.581614840681993	0.3645394983301202	-0.98132628207509	2.223492540620965	FALSE	TRUE	FALSE	TRUE	la	NA	7	7110	-6.923347373741973	7117	TRUE	2.644449862745976
ájer	ájer	-1.8354175429968196	-2.3962585029591232	-5.806997833967639	0.4934425390926368	1.021473044232842	1.1890831439335998	FALSE	FALSE	TRUE	FALSE	yi	NA	15	67	-1.496642418288756	82	TRUE	3.5008709717691127
ámen	ámen	-3.8354175473048615	-4.554913450775696	-4.079418912005425	0.3932111847783135	0.21813399358903757	2.0371259646984625	FALSE	FALSE	TRUE	FALSE	he	NA	1	445	-6.09807428216624	446	TRUE	0.998878294655376
ómen	ómen	-3.8354175473048615	-4.876875621834278	-6.312641838693557	0.5331786101993222	0.07658415609911533	2.0264786186386403	FALSE	FALSE	TRUE	FALSE	la	NA	2	996	-6.210600077024653	998	TRUE	1.4127958040594315
saller	šaller	-2.3474447996890317	-2.3469993117932852	-2.726195682670071	0.6157244893780808	0.7969312953240598	-1.494907017911165	FALSE	FALSE	TRUE	FALSE	de	NA	96	3971	-3.722425039663415	4067	TRUE	9.681629833509216
samesz	šames	-1.891705484199207	-1.8921566886829964	0.23551900916719504	0.6790570989096579	0.16695943134719962	1.191001005245154	FALSE	TRUE	FALSE	FALSE	yi	NA	484	188	0.9456429438866824	672	TRUE	11.636355181273984
skanzen	škanzen	-1.8917183739718917	-1.8913166001395725	-2.70805020110221	0.5959151370271337	0.5772307713451144	-1.2017680446134316	FALSE	FALSE	TRUE	FALSE	sv	NA	829	9519	-2.44082492511601	10348	TRUE	27.614979086814653
sparherd	šparherd	-3.835417542996819	-4.033568268663181	-3.3821378410405325	0.6077713154110261	-0.06949782837563837	-2.4124385780794606	FALSE	FALSE	FALSE	TRUE	de	NA	11	139	-2.5365786603323213	150	TRUE	3.1927000067863145
stukker	štukker	-1.8354175429968196	-1.9292268826526529	-5.444126473686547	0.5652338309409642	1.8835671183561096	-0.7401037822162113	FALSE	FALSE	TRUE	FALSE	de	NA	113	510	-1.507022907006031	623	TRUE	9.617900646247678
subler	šubler	-3.835417542996819	-3.4078357062993585	-1.4593455300048468	0.6410159780813808	0.7962104905988582	-0.5350714504489554	FALSE	FALSE	TRUE	FALSE	de	NA	10	64	-1.8562979903656265	74	TRUE	2.940858488375231
sumer	šumer	-1.8354175429968196	-2.9128211960446446	-1.916630399644064	0.6105362993478652	0.9033695327162156	1.084668646816653	FALSE	FALSE	TRUE	FALSE	akk	NA	985	684	0.3646837235495385	1669	TRUE	20.091760739431106
sábesz	šábes	-3.2844557555610012	-3.284362272404622	0.9162907318741552	0.5813393824098809	0.3081722511923863	1.8775079642210744	FALSE	TRUE	FALSE	FALSE	yi	NA	10	102	-2.3223877202902252	112	TRUE	3.017804310611087
zsorzsett	žoržett	-3.835417542996819	-3.8763028496024616	-4.6759392568762985	0.5674770547776994	-2.7471297475435525	-1.2933107279778076	FALSE	FALSE	FALSE	TRUE	fr	NA	1	58	-4.060443010546419	59	TRUE	0.9914892069294688
zsáner	žáner	-3.835417542996819	-3.882471593570783	-2.868462229446103	0.5718188321158901	1.1474813089652565	1.1443015261536222	FALSE	FALSE	TRUE	FALSE	fr	NA	19	6539	-5.841100548394835	6558	TRUE	4.35258000839625
